"","SRRecordID","ServiceRequestNum","SRType","MethodReceived","CreatedDate","SRStatus","StatusDate","DueDate","CloseDate","Agency","LastActivity","LastActivityDate","Outcome","Address","ZipCode","Neighborhood","CouncilDistrict","PoliceDistrict","PolicePost","Latitude","Longitude","GeoLocation"
"1","5004M00000ZwOMnQAN","19-00711545","TRM-Street and Crosswalk Markings","Phone","10/21/2019 11:49:49 AM","Open","10/21/2019 11:50:08 AM","04/18/2020 11:49:49 AM","","Transportation",NA,NA,NA,"LIBERTY HEIGHTS AVE & REISTERSTOWN RD, Baltimore City, 21215",21215,"Mondawmin",7,"Western",NA,39.3181508270367,-76.6523595419497,"(39.31815082703674, -76.65235954194969)"
"2","5004M00000ZwOMiQAN","19-00711544","ECC-Information Request","Phone","10/21/2019 11:49:46 AM","New","10/21/2019 11:49:45 AM","10/23/2019 11:49:46 AM","","Call Center",NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,""
"3","5004M00000ZwOMdQAN","19-00711543","ECC-Information Request","Phone","10/21/2019 11:49:42 AM","New","10/21/2019 11:49:42 AM","10/23/2019 11:49:42 AM","","Call Center",NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,""
"4","5004M00000ZwOMTQA3","19-00711542","SW-Dirty Alley","Internal","10/21/2019 11:49:33 AM","New","10/21/2019 11:49:33 AM","10/28/2019 11:49:33 AM","","Solid Waste",NA,NA,NA,"101 N CLINTON ST, Baltimore City, 21224",21224,"Patterson Park Neighborhood",1,"Southeastern",NA,39.2934775451335,-76.5707896672377,"(39.29347754513347, -76.57078966723772)"
"5","5004M00000ZwOM4QAN","19-00711541","SW-Bulk Scheduled","Phone","10/21/2019 11:48:51 AM","New","10/21/2019 11:48:51 AM","01/19/2020 11:48:51 AM","","Solid Waste",NA,NA,NA,"5502 WHITWOOD RD, Baltimore City, 21206",21206,"Cedonia",2,"Northeastern",NA,39.3343309898252,-76.5353533356622,"(39.33433098982521, -76.53535333566221)"
"6","5004M00000ZwOLpQAN","19-00711540","ECC-Information Request","Phone","10/21/2019 11:48:43 AM","Closed","10/21/2019 11:48:42 AM","10/23/2019 11:48:43 AM","10/21/2019 11:49:18 AM","Call Center",NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,""
"7","5004M00000ZwOLaQAN","19-00711539","SW-Rat Rubout Proactive","System","10/21/2019 11:48:41 AM","Closed","10/21/2019 11:48:51 AM","10/26/2019 11:48:41 AM","10/21/2019 11:48:53 AM","Solid Waste",NA,NA,NA,"3608 2ND ST, Baltimore City, 21225",21225,"Brooklyn",10,"Southern",NA,39.2375707366225,-76.6090895428209,"(39.2375707366225, -76.60908954282093)"
"8","5004M00000ZwOLLQA3","19-00711538","SW-Rat Rubout Proactive","System","10/21/2019 11:48:26 AM","Closed","10/21/2019 11:48:39 AM","10/26/2019 11:48:26 AM","10/21/2019 11:48:40 AM","Solid Waste",NA,NA,NA,"3606 2ND ST, Baltimore City, 21225",21225,"Brooklyn",10,"Southern",NA,39.2376049247668,-76.609073604723,"(39.23760492476678, -76.609073604723)"
"9","5004M00000ZwOLGQA3","19-00711537","TRS-Parking Complaint","API","10/21/2019 11:48:25 AM","New","10/21/2019 11:48:25 AM","10/22/2019 11:48:25 AM","","Transportation",NA,NA,NA,"332 S GILMOR ST, Baltimore City, 21223",21223,"New Southwest/Mount Clare",9,"Southern",NA,39.2837320341756,-76.6423544306349,"(39.28373203417564, -76.64235443063485)"
"10","5004M00000ZwOLBQA3","19-00711536","SW-Rat Rubout Proactive","System","10/21/2019 11:48:11 AM","Closed","10/21/2019 11:48:23 AM","10/26/2019 11:48:11 AM","10/21/2019 11:48:25 AM","Solid Waste",NA,NA,NA,"3604 2ND ST, Baltimore City, 21225",21225,"Brooklyn",10,"Southern",NA,39.2376410965518,-76.6090519777973,"(39.237641096551776, -76.60905197779732)"
"11","5004M00000ZwOL6QAN","19-00711535","TR-Youth Snow Program Resident Registration","Phone","10/21/2019 11:47:53 AM","New","10/21/2019 11:47:53 AM","11/20/2019 11:47:53 AM","","Transportation",NA,NA,NA,"6201 PIONEER DR, Baltimore City, 21214",21214,"Hamilton Hills",3,"Northeastern",NA,39.3615818293711,-76.5719512723422,"(39.361581829371104, -76.57195127234222)"
"12","5004M00000ZwOL1QAN","19-00711534","SW-Rat Rubout Proactive","System","10/21/2019 11:47:51 AM","Closed","10/21/2019 11:48:01 AM","10/26/2019 11:47:51 AM","10/21/2019 11:48:02 AM","Solid Waste",NA,NA,NA,"2212 PRESBURY ST, Baltimore City, 21216",21216,"Coppin Heights/Ash-Co-East",7,"Western",NA,39.3078345407063,-76.6534431146565,"(39.30783454070632, -76.65344311465645)"
"13","5004M00000ZwOKwQAN","19-00711533","HCD-Vacant Building","Phone","10/21/2019 11:47:49 AM","New","10/21/2019 11:47:49 AM","11/05/2019 11:47:49 AM","","Housing",NA,NA,NA,"1516 CYPRESS ST, Baltimore City, 21226",21226,"Curtis Bay",10,"Southern",NA,39.2238551687937,-76.5888146655508,"(39.22385516879368, -76.58881466555081)"
"14","5004M00000ZwOKhQAN","19-00711531","TRT-Sign New/Remove/Change","Phone","10/21/2019 11:47:41 AM","Open","10/21/2019 11:50:11 AM","","","Transportation",NA,NA,NA,"9 E HAMBURG ST, Baltimore City, 21230",21230,"Federal Hill",11,"Southern",NA,39.2780688089075,-76.6139149737087,"(39.278068808907484, -76.61391497370873)"
"15","5004M00000ZwOKcQAN","19-00711530","SW-Rat Rubout Proactive","System","10/21/2019 11:47:36 AM","Closed","10/21/2019 11:47:48 AM","10/26/2019 11:47:36 AM","10/21/2019 11:47:50 AM","Solid Waste",NA,NA,NA,"2210 PRESBURY ST, Baltimore City, 21216",21216,"Coppin Heights/Ash-Co-East",7,"Western",NA,39.3078347862474,-76.6533907895803,"(39.307834786247376, -76.65339078958026)"
"16","5004M00000ZwOKXQA3","19-00711529","SW-Rat Rubout Proactive","Internal","10/21/2019 11:47:25 AM","Closed","10/21/2019 11:47:53 AM","10/26/2019 11:47:25 AM","10/21/2019 11:47:54 AM","Solid Waste",NA,NA,NA,"3602 2ND ST, Baltimore City, 21225",21225,"Brooklyn",10,"Southern",NA,39.2376770062424,-76.6090360314227,"(39.23767700624237, -76.60903603142273)"
"17","5004M00000ZwOKSQA3","19-00711528","SW-Rat Rubout Proactive","System","10/21/2019 11:47:22 AM","Closed","10/21/2019 11:47:32 AM","10/26/2019 11:47:22 AM","10/21/2019 11:47:34 AM","Solid Waste",NA,NA,NA,"2208 PRESBURY ST, Baltimore City, 21216",21216,"Coppin Heights/Ash-Co-East",7,"Western",NA,39.3078388004299,-76.6533426745676,"(39.30783880042991, -76.65334267456764)"
"18","5004M00000ZwOK8QAN","19-00711527","FOR-Tree Inspection","Phone","10/21/2019 11:47:13 AM","Open","10/21/2019 11:47:13 AM","11/20/2019 11:47:13 AM","","Recreation & Parks",NA,NA,NA,"209 N EDGEWOOD ST, Baltimore City, 21229",21229,"Allendale",8,"Southwestern",NA,39.2903962337926,-76.6756605362406,"(39.29039623379263, -76.67566053624056)"
